Format Version,1.23,Take Name,Take 2021-08-31 04.28.09 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-08-31 04.28.10.058 PM,Capture Start Frame,617850,Total Frames in Take,2182,Total Exported Frames,2182,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z
108,1.080000,-8.256891,-0.026295,-0.418400,-1.226997,2.002249,1.470051
109,1.090000,-8.259121,-0.012281,-0.414767,-1.226996,2.002243,1.470044
110,1.100000,-8.282158,-0.047718,-0.289249,-1.227045,2.002323,1.470057
111,1.110000,-8.252067,-0.019766,-0.424322,-1.226998,2.002244,1.470051
112,1.120000,-8.257424,-0.011866,-0.410723,-1.226991,2.002252,1.470056
113,1.130000,-8.260150,-0.002440,-0.415844,-1.226986,2.002258,1.470069
114,1.140000,-8.265273,-0.013351,-0.420486,-1.226986,2.002255,1.470057
115,1.150000,-8.268921,-0.046510,-0.287795,-1.227046,2.002335,1.470062
116,1.160000,-8.272125,-0.024792,-0.413594,-1.226996,2.002244,1.470051
117,1.170000,-8.263210,-0.011607,-0.418667,-1.226994,2.002246,1.470047
118,1.180000,-8.271811,-0.006487,-0.299041,-1.227063,2.002342,1.470030
119,1.190000,-8.257622,0.021844,-0.421932,-1.226992,2.002262,1.470033
120,1.200000,-8.280596,-0.055583,-0.284907,-1.227038,2.002322,1.470049
121,1.210000,-8.267710,-0.027073,-0.413520,-1.226987,2.002251,1.470054
122,1.220000,-8.248163,0.026674,-0.433017,-1.226989,2.002270,1.470029
123,1.230000,-8.258255,-0.028077,-0.412276,-1.226984,2.002252,1.470042
124,1.240000,-8.279182,-0.020621,-0.286420,-1.227041,2.002350,1.470029
125,1.250000,-8.290712,-0.064785,-0.271160,-1.227023,2.002334,1.470038
126,1.260000,-8.260480,-0.017862,-0.431538,-1.226972,2.002259,1.470046
127,1.270000,-8.258018,0.034910,-0.437251,-1.227009,2.002264,1.470026
128,1.280000,-8.275181,-0.053499,-0.284287,-1.227046,2.002328,1.470048
129,1.290000,-8.260693,-0.011131,-0.422023,-1.226975,2.002257,1.470047
130,1.300000,-8.251920,0.015543,-0.430995,-1.226987,2.002285,1.470026
131,1.310000,-8.248551,0.017796,-0.432899,-1.226997,2.002287,1.470039
132,1.320000,-8.251243,0.032507,-0.427826,-1.226990,2.002280,1.470019
133,1.330000,-8.268088,-0.013852,-0.423567,-1.226982,2.002246,1.470038
134,1.340000,-8.262613,0.020660,-0.427723,-1.226997,2.002270,1.470041
135,1.350000,-8.256640,0.043798,-0.436199,-1.226995,2.002256,1.470036
136,1.360000,-8.271457,-0.020055,-0.400962,-1.226969,2.002246,1.470050
137,1.370000,-8.277041,-0.021977,-0.416891,-1.226975,2.002266,1.470068
138,1.380000,-8.271201,-0.026619,-0.433341,-1.226977,2.002248,1.470053
139,1.390000,-8.269004,-0.009051,-0.419894,-1.226956,2.002258,1.470057
140,1.400000,-8.263608,-0.004674,-0.416254,-1.226981,2.002257,1.470065
141,1.410000,-8.269666,-0.020840,-0.416857,-1.226970,2.002262,1.470069
142,1.420000,-8.270185,-0.028867,-0.430687,-1.226975,2.002249,1.470051
143,1.430000,-8.254937,0.016868,-0.429719,-1.226991,2.002259,1.470043
144,1.440000,-8.270466,-0.021313,-0.415145,-1.226968,2.002230,1.470050
145,1.450000,-8.282743,-0.040803,-0.276324,-1.227019,2.002317,1.470056
146,1.460000,-8.270836,-0.062869,-0.286051,-1.227022,2.002337,1.470051
147,1.470000,-8.251719,0.024364,-0.422443,-1.226993,2.002262,1.470017
148,1.480000,-8.273623,-0.046449,-0.283813,-1.227012,2.002316,1.470054
149,1.490000,-8.259953,0.026434,-0.435408,-1.226977,2.002248,1.470040
150,1.500000,-8.276756,-0.017299,-0.409486,-1.226964,2.002239,1.470047
151,1.510000,-8.256380,0.021170,-0.439749,-1.226986,2.002256,1.470034
152,1.520000,-8.255973,-0.018052,-0.422432,-1.226990,2.002233,1.470050
153,1.530000,-8.254631,0.022047,-0.417259,-1.226991,2.002251,1.470033
154,1.540000,-8.251689,0.029640,-0.425425,-1.226997,2.002260,1.470039
155,1.550000,-8.251808,0.020868,-0.434882,-1.226990,2.002256,1.470039
